toi,tid,tfopwg_disp,pl_orbper,pl_trandurh,pl_trandep,st_tmag,st_dist,st_teff,st_logg,st_rad
7417.01,25624952,FP,3.1239462,2.102,5224.0,13.222,1402.62,6159.0,3.75,2.4
744.01,437242640,KP,4.3176859,1.822,11283.0,9.7566,132.096,5700.0,4.50578,1.11
7456.01,158933249,KP,,12.3268905,2130.9227361,11.6455,258.893,5328.63,4.438,1.0
7458.01,169081296,KP,16.2385246,3.2716962,684.9090611,9.85155,122.881,5740.0,4.49186,0.952085
7461.01,271052158,KP,5.9605542,2.7022064,737.904182,11.9838,268.881,5219.54,4.43789,0.943064
7468.01,2621212,KP,,3.0241239,2116.7296698,11.2309,107.518,4550.0,4.60155,0.701485
747.01,15445551,KP,1.6827917,3.0314666,8131.4342611,10.349,298.392,6271.0,4.08214,1.56803
7470.01,437444661,KP,17.9758603,3.3462754,3159.4996574,11.3692,157.682,5274.0,4.53357,0.851795
7471.01,46020827,KP,9.3911326,4.5117643,6074.3894093,10.4725,279.35,5708.0,3.95223,1.76693
7472.01,145368316,KP,1.6096874,2.2918133,15269.5334453,11.6123,261.386,6472.0,4.43974,1.14583
7473.01,187278212,KP,,1.6479258,744.3594775,9.2493,44.526,4759.0,4.70975,0.641805
7474.01,50171060,KP,1.257813,0.979333,7385.3106816,10.0198,110.527,5340.0,4.37794,1.02904
7476.01,442530946,KP,3.7130279,3.3859417,10664.9875098,10.5959,222.355,5808.0,4.29702,1.20191
7478.01,11270200,KP,3.1432403,4.3767436,4968.9753741,12.2994,746.138,5780.0,4.438,
7479.01,77202722,KP,3.3566052,2.4455576,17292.2979757,12.4035,290.946,5012.0,4.43351,0.916939
748.01,104024556,KP,2.0219583,2.681,10040.0,10.3182,423.552,7000.0,4.13412,1.94
7480.01,71841620,KP,5.084334,5.0844391,5787.6432946,9.9543,226.399,5692.5,3.9616,1.73938
7484.01,68952448,KP,4.6144478,1.8613266,15541.995749,11.355,189.469,5417.0,4.57331,0.831063
7486.01,336732544,KP,3.2771118,2.6850132,15566.1440892,13.3102,523.067,5451.0,4.46538,0.944511
7487.01,301258470,KP,12.4563692,3.6674288,10352.6423902,11.9039,233.237,5278.0,4.54274,0.843307
7491.01,119262291,KP,4.1747143,3.8092867,14026.6940585,13.7805,856.436,5859.0,4.38969,1.08854
7492.01,102068384,KP,2.5001361,2.4822655,13027.0636057,12.9376,428.976,5160.0,4.37898,0.998401
7493.01,12611594,KP,1.9155258,3.5663951,7383.1867077,12.5866,638.7,5494.0,4.02415,1.58042
7496.01,96847781,KP,3.5841,2.689763,7727.5058354,13.8205,794.637,5553.0,4.33441,1.11542
7499.01,301031110,KP,3.8304162,3.1251205,12299.893921,13.4041,756.742,5770.0,4.2819,1.2148
750.01,14614418,KP,0.8378453,2.1590096,21355.7850721,13.3898,624.368,5600.0,4.43826,1.01656
7501.01,271898990,KP,1.747633,2.1850556,16779.7987149,14.0739,1139.55,5122.0,3.95664,1.61423
7502.01,169504920,KP,3.1052319,2.8083392,13036.1538292,11.9801,493.32,6297.0,4.30016,1.29988
751.01,14661418,KP,4.722816,2.1894174,22675.3812671,12.4806,229.518,4803.0,4.64154,0.793235
752.01,61538902,KP,5.7481323,2.6600483,12259.4473284,11.3743,301.462,5900.0,4.52994,1.12783
755.01,73228647,CP,2.5404679,2.154,572.0,9.4628,106.307,6003.0,4.47356,0.99
755.02,73228647,KP,6.7418796,1.3710857,450.5420649,9.4628,106.307,6003.0,4.47356,0.986649
757.01,130924120,CP,17.4682298,3.491,926.0,9.0498,60.3418,5499.0,4.39962,0.76
763.01,178819686,CP,5.6057748,3.0213897,701.1882316,9.5275,95.1274,5767.0,4.34736,0.906761
763.02,178819686,CP,12.2772444,3.8398889,869.4629182,9.5275,95.1274,5767.0,4.34736,0.906761
765.01,219401954,FA,0.861484,1.293669,286.708078,9.647,168.781,5724.7,3.82,1.45505
767.01,229047362,KP,3.764873,2.759996,22257.118447,11.2175,211.416,5703.0,4.51085,0.92
769.01,248075138,KP,4.9816784,2.733,18110.0,11.3728,177.291,5315.0,4.51737,0.79
